;;Группа:;РФ19-34;;;;;
РАСПИСАНИЕ УЧЕБНЫХ ЗАНЯТИЙ;;;;;;;"ФГАОУ ВО ""Сибирский федеральный университет""";
;;;Осенний семестр;2023-2024;года;;УТВЕРЖДАЮ __________________________;
Институт:;;ИИФР;;;;;Ректор                             М.В. Румянцев;
Курс:;;5;Форма обучения;Очная;;;;
;;;;;;;;
Дни;Часы;Неделя;11.05.01 Радиоэлектронные системы и комплексы;;;;;
;;;"РФ19-34
";;;;;
;12.00 - 13.35;1;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;2;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;14.10 - 15.45;1;Основы теории радиосистем передачи информации;;;;;
;;;Романов А.П.;;;;;
;;;лекция;;;;;
;;;Корпус №12;;;;;
;;;4-19;;;;;
;;;синхронно;;;;;
;;2;Основы теории радиосистем передачи информации;;;;;
;;;Романов А.П.;;;;;
;;;лаб. работа;;;;;
;;;Корпус №12;;;;;
;;;2-23с;;;;;
;;;синхронно;;;;;
;15.55 - 17.30;1;Устройства генерирования и формирования сигналов;;;;;
;;;Романов А.П.;;;;;
;;;лекция;;;;;
;;;Корпус №12;;;;;
;;;4-19;;;;;
;;;синхронно;;;;;
;;2;Устройства генерирования и формирования сигналов;;;;;
;;;Романов А.П.;;;;;
;;;пр. занятие;;;;;
;;;Корпус №12;;;;;
;;;4-19;;;;;
;;;синхронно;;;;;
;17.40 - 19.15;1;Надежность и техническая диагностика;;;;;
;;;Сарафанов А.В.;;;;;
;;;лекция;;;;;
;;;Корпус №12;;;;;
;;;4-20;;;;;
;;;синхронно;;;;;
;;2;Надежность и техническая диагностика;;;;;
;;;Сарафанов А.В.;;;;;
;;;пр. занятие;;;;;
;;;Корпус №12;;;;;
;;;2-23с;;;;;
;;;синхронно;;;;;
;19.25 - 21.00;1;Основы теории радиосистем передачи информации;;;;;
;;;Романов А.П.;;;;;
;;;пр. занятие;;;;;
;;;Корпус №12;;;;;
;;;2-23л;;;;;
;;;синхронно;;;;;
;;2;Устройства приёма и обработки сигналов;;;;;
;;;Зандер Ф.В.;;;;;
;;;пр. занятие;;;;;
;;;Корпус №12;;;;;
;;;4-15;;;;;
;;;синхронно;;;;;
Пятница;8.30 - 10.05;1;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;2;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;10.15 - 11.50;1;Спутниковые системы навигации, связи и наблюдения;;;;;
;;;Зандер Ф.В.;;;;;
;;;лекция;;;;;
;;;Корпус №12;;;;;
;;;4-20;;;;;
;;;синхронно;;;;;
;;2;Спутниковые системы навигации, связи и наблюдения;;;;;
;;;Зандер Ф.В.;;;;;
;;;лекция;;;;;
;;;Корпус №12;;;;;
;;;4-20;;;;;
;;;синхронно;;;;;
;12.00 - 13.35;1;Спутниковые системы навигации, связи и наблюдения;;;;;
;;;Зандер Ф.В.;;;;;
;;;лаб. работа;;;;;
;;;Корпус №12;;;;;
;;;4-20;;;;;
;;;синхронно;;;;;
;;2;Устройства приёма и обработки сигналов;;;;;
;;;Зандер Ф.В.;;;;;
;;;лекция;;;;;
;;;Корпус №12;;;;;
;;;4-20;;;;;
;;;синхронно;;;;;
;14.10 - 15.45;1;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;2;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;15.55 - 17.30;1;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;2;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;17.40 - 19.15;1;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;2;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
Суббота;8.30 - 10.05;1;НИР часть 2;;;;;
;;;Зандер Ф.В.;;;;;
;;;практика;;;;;
;;;;;;;;
;;;;;;;;
;;;синхронно;;;;;
;;2;Техническая эксплуатация радиоэлектронного оборудования;;;;;
;;;Мусонов В.М.;;;;;
;;;лекция;;;;;
;;;Корпус №12;;;;;
;;;4-20;;;;;
;;;синхронно;;;;;
;10.15 - 11.50;1;НИР часть 2;;;;;
;;;Зандер Ф.В.;;;;;
;;;практика;;;;;
;;;;;;;;
;;;;;;;;
;;;синхронно;;;;;
;;2;Техническая эксплуатация радиоэлектронного оборудования;;;;;
;;;Мусонов В.М.;;;;;
;;;лаб. работа;;;;;
;;;Корпус №12;;;;;
;;;4-20;;;;;
;;;синхронно;;;;;
;12.00 - 13.35;1;НИР часть 2;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;2;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;14.10 - 15.45;1;НИР часть 2;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;2;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;15.55 - 17.30;1;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;2;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;17.40 - 19.15;1;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;2;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
"Примечание: Занятия по дисциплине ""Прикладная физическая культура и спорт"" проводятся два раза в неделю по индивидуальному расписанию студентов (https://u-sport.sfu-kras.ru) на основании графика учебного процесса и аудиторных часов, указанных в учебном плане.";;;;;;;;
;;;;;;;;
;Руководитель учебного департамента  ________________ Н.А. Козель;;;;;;Директор института ______________________;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
