Дни;Часы;Неделя;09.03.01 Информатика и вычислительная техника;;;;;;;;;;;;;;09.03.04 Программная инженерия;;;;;;01.03.04 Прикладная математика;10.05.01 Компьютерная безопасность;;10.05.03 Информационная безопасность автоматизированных систем;;10.03.01 Информационная безопасность;;27.03.03 Системный анализ и управление;;27.03.04 Управление в технических системах;;15.03.04 Автоматизация технологических процессов и производств;09.03.03 Прикладная информатика;;;
;;;КИ20-06б                                     (1 подгруппа);КИ20-06б                                     (2 подгруппа);КИ20-07б                                     (1 подгруппа);КИ20-07б                                     (2 подгруппа);КИ20-08б                                     (1 подгруппа);КИ20-08б                                     (2 подгруппа);КИ20-11б                                     (1 подгруппа);КИ20-11б                                     (2 подгруппа);КИ20-12б                                     (1 подгруппа);КИ20-12б                                     (2 подгруппа);КИ20-13б                                     (1 подгруппа);КИ20-13б                                     (2 подгруппа);КИ20-14б                                     (1 подгруппа);КИ20-14б                                     (2 подгруппа);КИ21-16/1б                                     (1 подгруппа);КИ20-16/1б                                     (2 подгруппа);КИ20-16/2б                                     (1 подгруппа);КИ20-16/2б                                     (2 подгруппа);КИ20-17/1б                                     (1 подгруппа);КИ20-17/1б                                     (2 подгруппа);КИ20-18б;КИ20-01                                     (1 подгруппа);КИ20-01                                     (2 подгруппа);КИ20-02                                     (1 подгруппа);КИ20-02                                     (2 подгруппа);КИ20-02/1б                                     (1 подгруппа);КИ20-02/1б                                     (2 подгруппа);КИ20-03б                                     (1 подгруппа);КИ20-03б                                     (2 подгруппа);КИ20-04б                                     (1 подгруппа);КИ20-04б                                     (2 подгруппа);КИ20-05б                                    ;КИ20-20б                                     (1 подгруппа);КИ20-20б                                     (2 подгруппа);КИ20-21б                                     (1 подгруппа);КИ20-21б                                     (2 подгруппа)
;12.00 - 13.35;1;;;;;Микропроцессорные системы;Микропроцессорные системы;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;;;;;;;Интегральные преобразования и их применение;Операционные системы;Операционные системы;Численные методы;Численные методы;Организационное и правовое обеспечение информационной безопасности;Организационное и правовое обеспечение информационной безопасности;;;Информационно-управляющие системы;Информационно-управляющие системы;;;;Технологии виртуальной и дополненной реальности;Технологии виртуальной и дополненной реальности
;;;;;;;Хантимиров А.Г.;Хантимиров А.Г.;;;;;;;;;;;;;;;Антипова И.А.;Макуха Л.В.;Макуха Л.В.;Медведева М.И.;Медведева М.И.;Лазарева В.А.;Лазарева В.А.;;;Дрозд О.В.;Дрозд О.В.;;;;Бортновский С.В.;Бортновский С.В.
;;;;;;;лаб. работа;лаб. работа;;;;;;;;;;;;;;;лекция;лаб. работа;лаб. работа;пр. занятие;пр. занятие;лекция;лекция;;;лекция;лекция;;;;пр. занятие;пр. занятие
;;;;;;;Корпус №17;Корпус №17;;;;;;;;;;;;;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;ЭИОС;ЭИОС;;;ЭИОС;ЭИОС;;;;Корпус №17;Корпус №17
;;;;;;;4-19;4-19;;;;;;;;;;;;;;;1-17;3-01;3-01;4-23;4-23;https://e.sfu-kras.ru/course/view.php?id=11078;https://e.sfu-kras.ru/course/view.php?id=11078;;;https://e.sfu-kras.ru/course/view.php?id=1483;https://e.sfu-kras.ru/course/view.php?id=1483;;;;4-16;4-16
;;;;;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;;;;;;синхронно;синхронно;синхронно;синхронно;синхронно;асинхронно;асинхронно;;;асинхронно;асинхронно;;;;синхронно;синхронно
;;2;;;;;Микропроцессорные системы;Микропроцессорные системы;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;;;;;;;Интегральные преобразования и их применение;Операционные системы;Операционные системы;Численные методы;Численные методы;Организационное и правовое обеспечение информационной безопасности;Организационное и правовое обеспечение информационной безопасности;;;Информационно-управляющие системы;Информационно-управляющие системы;;;;Технологии виртуальной и дополненной реальности;Технологии виртуальной и дополненной реальности
;;;;;;;Хантимиров А.Г.;Хантимиров А.Г.;;;;;;;;;;;;;;;Антипова И.А.;Макуха Л.В.;Макуха Л.В.;Медведева М.И.;Медведева М.И.;Лазарева В.А.;Лазарева В.А.;;;Дрозд О.В.;Дрозд О.В.;;;;Бортновский С.В.;Бортновский С.В.
;;;;;;;лаб. работа;лаб. работа;;;;;;;;;;;;;;;лекция;лаб. работа;лаб. работа;пр. занятие;пр. занятие;лекция;лекция;;;лекция;лекция;;;;пр. занятие;пр. занятие
;;;;;;;Корпус №17;Корпус №17;;;;;;;;;;;;;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;ЭИОС;ЭИОС;;;ЭИОС;ЭИОС;;;;Корпус №15;Корпус №15
;;;;;;;4-19;4-19;;;;;;;;;;;;;;;1-17;3-01;3-01;4-23;4-23;https://e.sfu-kras.ru/course/view.php?id=11078;https://e.sfu-kras.ru/course/view.php?id=11078;;;https://e.sfu-kras.ru/course/view.php?id=1483;https://e.sfu-kras.ru/course/view.php?id=1483;;;;4-15;4-15
;;;;;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;;;;;;синхронно;синхронно;синхронно;синхронно;синхронно;асинхронно;асинхронно;;;асинхронно;асинхронно;;;;синхронно;синхронно
