;;Группа:;КИ22-20Б;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
РАСПИСАНИЕ УЧЕБНЫХ ЗАНЯТИЙ;;;;;;;"ФГАОУ ВО ""Сибирский федеральный университет""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Осенний семестр;2023-2024;года;;УТВЕРЖДАЮ __________________________;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Институт:;;ИКИТ;;;;;Ректор                             М.В. Румянцев;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;пр. занятие;пр. занятие;;;;;лекция;лекция;лекция;лекция;лекция;пр. занятие;пр. занятие;;;пр. занятие;пр. занятие;;;;;пр. занятие;пр. занятие;пр. занятие;пр. занятие
;;;;;;;;;;;;;;;;;;;Корпус №17;Корпус №17;;;;;Корпус №14;Корпус №14;Корпус №14;Корпус №14;Корпус №14;Корпус №17;Корпус №17;;;Корпус №17;Корпус №17;;;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17
;;;;;;;;;;;;;;;;;;;4-20;4-20;;;;;34-08;34-08;34-08;34-08;34-08;5-11;5-11;;;4-23;4-23;;;;;3-01;3-01;4-02;4-02
;;;;;;;;;;;;;;;;;;;синхронно;синхронно;;;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;;синхронно;синхронно;;;;;синхронно;синхронно;синхронно;синхронно
;10.15 - 11.50;1;;;;;;;;;Физическая культура и спорт;;Физическая культура и спорт;;;;;;Математическая логика и теория алгоритмов;Математическая логика и теория алгоритмов;Разработка и анализ требований;Разработка и анализ требований;Технологии личностного роста и социальных взаимодействий;Технологии личностного роста и социальных взаимодействий;Математический анализ. Дополнительные главы;Дополнительные главы математического анализа;Дополнительные главы математического анализа;Математическая логика и теория алгоритмов;Математическая логика и теория алгоритмов;Языки программирования. Дополнительные разделы;Языки программирования. Дополнительные разделы;Иностранный язык;Иностранный язык;Операционные системы;Операционные системы;Технологии личностного роста и социальных взаимодействий;Технологии личностного роста и социальных взаимодействий;Метрология и измерительная техника автоматизированных систем;Метрология и измерительная техника автоматизированных систем;Базы данных;Базы данных;Проектирование информационных систем;Проектирование информационных систем
;;;;;;;;;;;Дорошенко О.Я.;;Черепанов А.Ю.;;;;;;Кошелева А.В.;Кошелева А.В.;Пересунько Е.О.;Пересунько Е.О.;Манушкина М.М.;Манушкина М.М.;Антипова И.А.;Кацунова А.С.;Кацунова А.С.;Богульская Н.А.;Богульская Н.А.;Титовский С.Н.;Титовский С.Н.;Даниленко А.С.;Слепченко Н.Н.;Макуха Л.В.;Макуха Л.В.;Гончаревич Н.А.;Гончаревич Н.А.;Авласко П.В.;Авласко П.В.;Троценко Л.С.;Троценко Л.С.;Вакансия;Вакансия
;;;;;;;;;;;пр. занятие;;пр. занятие;;;;;;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;лаб. работа;лаб. работа;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие
;;;;;;;;;;;ЭИОС;;ЭИОС;;;;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №15;Корпус №15;Корпус №17;Корпус №15;Корпус №15;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №15;Корпус №15;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17
;;;;;;;;;;;https://e.sfu-kras.ru/course/view.php?id=31707;;https://e.sfu-kras.ru/course/view.php?id=31707;https://e.sfu-kras.ru/course/view.php?id=31707;;;;;2-20;2-20;4-20;4-20;5-23;5-23;1-17;5-16;5-16;5-11;5-11;4-23;4-23;2-01;2-02;3-01;3-01;3-13;3-13;1-14;1-14;4-02;4-02;4-19;4-19
;;;;;;;;;;;асинхронно;;асинхронно;асинхронно;;;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно
;;2;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;;;Клиент-серверное программирование;Клиент-серверное программирование;Клиент-серверное программирование;Клиент-серверное программирование;Клиент-серверное программирование;Клиент-серверное программирование;Клиент-серверное программирование;Клиент-серверное программирование;Математическая логика и теория алгоритмов;Математическая логика и теория алгоритмов;Разработка и анализ требований;Разработка и анализ требований;;;Математический анализ. Дополнительные главы;Дополнительные главы математического анализа;Дополнительные главы математического анализа;Математическая логика и теория алгоритмов;Математическая логика и теория алгоритмов;Языки программирования. Дополнительные разделы;Языки программирования. Дополнительные разделы;Иностранный язык;Иностранный язык;Операционные системы;Операционные системы;;;Метрология и измерительная техника автоматизированных систем;Метрология и измерительная техника автоматизированных систем;Базы данных;Базы данных;Проектирование информационных систем;Проектирование информационных систем
