;;Группа:;КИ23-10Б;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
РАСПИСАНИЕ УЧЕБНЫХ ЗАНЯТИЙ;;;;;;;"ФГАОУ ВО ""Сибирский федеральный университет""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Осенний семестр;2023-2024;года;;УТВЕРЖДАЮ __________________________;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Институт:;;ИКИТ;;;;;Ректор                             М.В. Румянцев;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;4-01;4-12;;4-17;;;;;;3-11;3-11;https://e.sfu-kras.ru/course/view.php?id=36628;https://e.sfu-kras.ru/course/view.php?id=36628;https://e.sfu-kras.ru/course/view.php?id=32801;https://e.sfu-kras.ru/course/view.php?id=32801;;;;;;;1-15;1-15;1-15;1-15;1-15;1-15;1-16;1-16;1-16;1-16;1-16;1-16;1-19;1-19;1-19;1-19;1-19;1-19;;;https://e.sfu-kras.ru/course/view.php?id=32801;https://e.sfu-kras.ru/course/view.php?id=32801;5-10;5-15;5-15;;
;;;синхронно;синхронно;;синхронно;;;синхронно;синхронно;синхронно;синхронно;синхронно;асинхронно;асинхронно;асинхронно;асинхронно;;;;;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;;асинхронно;асинхронно;синхронно;синхронно;синхронно;;
;;2;Основы программирования;Введение в профессиональную деятельность;;Информатика;;;Введение в профессиональную деятельность;Введение в профессиональную деятельность;Введение в профессиональную деятельность;;;;;;;;;;;;;Математический анализ;Математический анализ;Математический анализ;Математический анализ;Математический анализ;Математический анализ;Аналитическая геометрия;Аналитическая геометрия;Аналитическая геометрия;Аналитическая геометрия;Аналитическая геометрия;Аналитическая геометрия;Основы российской государственности;Основы российской государственности;Основы российской государственности;Основы российской государственности;Основы российской государственности;Основы российской государственности;;;История России;История России;Основы программирования;Высшая математика;Высшая математика;;
;;;Верхошенцева С.Л.;Вакансия;;Алексеев М.В.;;;Кушнаренко А.В.;Кушнаренко А.В.;Кушнаренко А.В.;;;;;;;;;;;;;Белько Е.С.;Белько Е.С.;Белько Е.С.;Белько Е.С.;Белько Е.С.;Белько Е.С.;Кириллов К.А.;Кириллов К.А.;Кириллов К.А.;Кириллов К.А.;Кириллов К.А.;Кириллов К.А.;Никуленков В.В.;Никуленков В.В.;Никуленков В.В.;Никуленков В.В.;Никуленков В.В.;Никуленков В.В.;;;Терскова А.А.;Терскова А.А.;Тынченко В.В.;Зыкова Т.В.;Зыкова Т.В.;;
;;;пр. занятие;лаб. работа;;пр. занятие;;;пр. занятие;пр. занятие;пр. занятие;;;;;;;;;;;;;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;;;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;;
;;;Корпус №17;Корпус №17;;Корпус №17;;;4-13, ЭИОС;4-13, ЭИОС;4-13, ЭИОС;;;;;;;;;;;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;;;ЭИОС;ЭИОС;Корпус №17;Корпус №17;Корпус №17;;
;;;4-01;4-12;;4-17;;;;;;;;;;;;;;;;;;1-15;1-15;1-15;1-15;1-15;1-15;1-16;1-16;1-16;1-16;1-16;1-16;1-19;1-19;1-19;1-19;1-19;1-19;;;https://e.sfu-kras.ru/course/view.php?id=36628;https://e.sfu-kras.ru/course/view.php?id=36628;5-10;5-15;5-15;;
;;;синхронно;синхронно;;синхронно;;;синхронно;синхронно;синхронно;;;;;;;;;;;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;;асинхронно;асинхронно;синхронно;синхронно;синхронно;;
;10.15 - 11.50;1;Математический анализ;Математический анализ;Основы программирования;Введение в профессиональную деятельность;Введение в профессиональную деятельность;Информатика;Основы программирования;Основы программирования;Основы программирования;История России;История России;Физическая культура и спорт;Физическая культура и спорт;История России;История России;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;;;Основы программирования;Основы программирования;Информатика;Информатика;Математический анализ;Математический анализ;Аналитическая геометрия;Аналитическая геометрия;Языки программирования;Иностранный язык;Основы российской государственности;Основы российской государственности;Языки программирования;Языки программирования;Математический анализ;Математический анализ;Основы российской государственности;Основы российской государственности;Математический анализ;Математический анализ;Информатика;Информатика;Информатика;Программирование;Программирование;Программирование;Программирование
;;;Зыкова Т.В.;Зыкова Т.В.;Верхошенцева С.Л.;Вакансия;Шишкина И.С.;Алексеев М.В.;Раскина А.В.;Раскина А.В.;Раскина А.В.;Алексеев О.Г.;Алексеев О.Г.;Вашко В.А.;Вашко В.А.;Терскова А.А.;Терскова А.А.;Нечепуренко В.М.;Нечепуренко В.М.;Авдеев С.П.;Авдеев С.П.;;;Вакансия;Вакансия;Пупков А.Н.;Пупков А.Н.;Белько Е.С.;Белько Е.С.;Кириллов К.А.;Кириллов К.А.;Кемельбаева А.Р.;Хлякин О.С.;Хаит Н.Л.;Хаит Н.Л.;Бураков С.В.;Бураков С.В.;Кочеткова Т.О.;Кочеткова Т.О.;Никуленков В.В.;Никуленков В.В.;Карнаухова О.А.;Карнаухова О.А.;Солопко И.В.;Солопко И.В.;Солопко И.В.;Кузьмин Д.Н.;Кузьмин Д.Н.;Кузьмин Д.Н.;Кузьмин Д.Н.
